City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
494,Luwuk,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
495,Yarmouth,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
496,Samba,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
497,Dakar,MR,86.0,clear sky,16.6527,-14.9587,La cour du fleuve
498,Katsuura,JP,49.3,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
499,Santa Rosa,SV,80.6,clear sky,13.4833,-88.1833,Excalibur
500,Celestun,CL,63.88,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
502,Pokhara,NP,39.58,broken clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
505,Shingu,JP,49.3,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
506,Kahului,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
508,Yen Bai,VN,57.2,mist,16.4667,107.6,Saigon Morin Hotel
509,Uige,AO,72.12,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
511,Surgana,IN,65.53,broken clouds,27.9167,96.1667,Circuit House
512,Warrington,US,64.4,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
513,Odweyne,SO,80.55,clear sky,4.1213,43.8894,Banjanay Hotel
516,Trelew,AR,57.2,few clouds,-54.8,-68.3,Albatros Hotel
517,Forestville,CA,37.0,broken clouds,47.6666,-52.7314,Gallows Cove
518,La Asuncion,VE,80.55,clear sky,11.0333,-63.8628,Colinas de Matasiete
521,Isangel,VU,79.72,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
522,Tidore,ID,80.6,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
524,Saint-Francois,FR,36.0,broken clouds,46.4154,3.9054,Manoir Du Bonheur
