City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Bahia Honda,CU,2021-01-09 16:32:21,22.9036,-83.1592,69.19,66,93,10.51
186,Moerai,PF,2021-01-09 16:34:22,-22.4333,-151.3333,78.89,81,13,19.22
187,Ipixuna,BR,2021-01-09 16:34:22,-1.7625,-48.8043,86.0,74,75,9.22
188,Wuwei,CN,2021-01-09 16:34:22,37.9281,102.6414,19.0,42,100,3.06
189,Surandai,IN,2021-01-09 16:34:22,8.9667,77.4,75.61,88,100,3.87
190,Atar,MR,2021-01-09 16:34:22,20.5169,-13.0499,76.68,24,27,13.85
191,Vao,NC,2021-01-09 16:34:22,-22.6667,167.4833,77.72,90,100,20.15
192,Roma,US,2021-01-09 16:32:05,43.2128,-75.4557,23.0,73,1,3.44
193,Bilibino,RU,2021-01-09 16:34:23,68.0546,166.4372,-25.46,83,3,0.65
194,Gaya,IN,2021-01-09 16:34:23,24.7833,85.0,68.0,73,75,4.85
195,Ust-Tsilma,RU,2021-01-09 16:34:23,65.441,52.1498,-8.64,90,82,2.84
196,Lipin Bor,RU,2021-01-09 16:34:23,60.2622,37.9763,-7.53,91,6,6.04
197,Faanui,PF,2021-01-09 16:34:23,-16.4833,-151.75,80.8,72,94,11.61
198,Hatfield,GB,2021-01-09 16:30:06,51.7634,-0.2242,33.01,100,75,4.61
199,Saint Anthony,US,2021-01-09 16:34:23,45.0205,-93.218,15.8,85,90,3.44
200,Longyearbyen,SJ,2021-01-09 16:34:23,78.2186,15.6401,21.2,79,90,18.41
201,Roald,NO,2021-01-09 16:34:23,62.5833,6.1333,41.0,70,20,26.46
202,Kodiak,US,2021-01-09 16:34:23,57.79,-152.4072,28.4,93,90,5.75
203,Manggar,ID,2021-01-09 16:34:23,-2.8833,108.2667,79.43,85,96,8.93
204,Ambon,ID,2021-01-09 16:34:23,-3.6954,128.1814,82.99,89,100,4.29
205,Hambantota,LK,2021-01-09 16:34:23,6.1241,81.1185,75.2,100,75,4.61
